epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,180.601,0.91655,1.61132,0.73094,1.23237,0.81025,0.73397,0.77325,0.55278,0.84403,0.69231,0.75719,0.51114,1.1216,2.03415,1.05254,1.48427,0.0014258,0.0014258,0.0014258
31,186.555,0.91944,1.68154,0.76632,1.24526,0.79091,0.75167,0.79648,0.56722,0.83213,0.69908,0.77276,0.52043,1.0484,1.97723,0.92747,1.40692,0.001406,0.001406,0.001406
32,192.498,0.93861,1.6141,0.75139,1.24946,0.8463,0.73077,0.82972,0.61039,0.85983,0.69551,0.80241,0.56313,0.9912,1.92617,0.86509,1.37622,0.0013862,0.0013862,0.0013862
33,198.59,0.92346,1.6755,0.74587,1.25491,0.82412,0.75641,0.82508,0.59087,0.81975,0.73077,0.79185,0.52343,1.01651,2.02124,0.84447,1.39994,0.0013664,0.0013664,0.0013664
34,204.551,0.91084,1.58308,0.71693,1.23194,0.80618,0.65323,0.74011,0.52644,0.80721,0.63462,0.70751,0.47417,1.05442,2.09765,1.0414,1.42983,0.0013466,0.0013466,0.0013466
35,210.505,0.91683,1.58293,0.74579,1.25002,0.81726,0.73102,0.82442,0.60258,0.80191,0.71795,0.79915,0.5519,1.02689,1.91344,0.84926,1.39064,0.0013268,0.0013268,0.0013268
36,216.49,0.91168,1.62036,0.72846,1.23386,0.77442,0.81731,0.84339,0.60931,0.75791,0.79271,0.80895,0.55631,1.03225,1.9573,0.8286,1.40743,0.001307,0.001307,0.001307
37,222.424,0.89197,1.52225,0.70407,1.20915,0.77978,0.77564,0.83761,0.60285,0.78219,0.76923,0.82382,0.55346,1.04172,1.87497,0.80843,1.39832,0.0012872,0.0012872,0.0012872
38,228.415,0.90132,1.60394,0.6981,1.214,0.83069,0.74359,0.84125,0.62107,0.81892,0.73397,0.81099,0.57443,1.01095,1.82379,0.84372,1.36952,0.0012674,0.0012674,0.0012674
39,234.508,0.87397,1.53581,0.6836,1.20759,0.78879,0.76603,0.82554,0.60966,0.86399,0.70833,0.80473,0.55875,1.00601,1.81656,0.85109,1.36928,0.0012476,0.0012476,0.0012476
40,240.475,0.8759,1.54284,0.69973,1.20435,0.8284,0.7891,0.84411,0.6126,0.84638,0.74167,0.82224,0.57514,1.06375,1.86253,0.8344,1.41851,0.0012278,0.0012278,0.0012278
41,246.432,0.87994,1.56434,0.67427,1.21564,0.81077,0.81731,0.85996,0.61719,0.81003,0.78205,0.84125,0.58378,1.03018,1.89543,0.8214,1.40624,0.001208,0.001208,0.001208
42,252.509,0.87162,1.56818,0.67137,1.20653,0.77654,0.77966,0.8161,0.57709,0.82662,0.70513,0.78237,0.52322,1.07876,2.03694,0.98965,1.42238,0.0011882,0.0011882,0.0011882
43,258.58,0.90207,1.58102,0.72234,1.23185,0.8276,0.61544,0.72402,0.53079,0.80992,0.60256,0.69506,0.49894,1.04778,2.14087,1.25384,1.434,0.0011684,0.0011684,0.0011684
44,264.631,0.85999,1.46857,0.65024,1.1838,0.82705,0.66346,0.74578,0.54633,0.83397,0.64423,0.72368,0.48672,1.12365,2.26034,1.14785,1.45775,0.0011486,0.0011486,0.0011486
45,270.64,0.84947,1.52936,0.65926,1.16694,0.8763,0.68119,0.79482,0.58496,0.86558,0.66667,0.76521,0.53202,1.00567,2.02484,0.9806,1.40728,0.0011288,0.0011288,0.0011288
46,276.707,0.82545,1.45944,0.65102,1.16263,0.84316,0.70647,0.79127,0.58533,0.82807,0.69468,0.76678,0.53346,1.06258,1.93553,0.98835,1.42109,0.001109,0.001109,0.001109
47,282.811,0.83849,1.49367,0.6384,1.18616,0.84522,0.78526,0.84705,0.6174,0.83309,0.76791,0.8279,0.59045,1.02727,1.77964,0.82057,1.38084,0.0010892,0.0010892,0.0010892
48,288.986,0.84588,1.48931,0.6281,1.19825,0.80357,0.78205,0.85122,0.62304,0.86172,0.71904,0.82238,0.57273,0.95243,1.85316,0.75763,1.31977,0.0010694,0.0010694,0.0010694
49,295.058,0.84395,1.43974,0.62725,1.17618,0.84335,0.72756,0.83432,0.62694,0.82449,0.71154,0.81169,0.57078,0.91956,1.81993,0.8046,1.31621,0.0010496,0.0010496,0.0010496
50,301.093,0.86962,1.47095,0.65123,1.20882,0.84915,0.6859,0.81863,0.61299,0.77818,0.74038,0.80574,0.56592,1.02262,1.84911,0.8749,1.37787,0.0010298,0.0010298,0.0010298
51,307.282,0.83078,1.4209,0.60633,1.17434,0.83114,0.78878,0.86372,0.65239,0.82108,0.77564,0.84,0.5847,0.92957,1.76918,0.72058,1.31805,0.00101,0.00101,0.00101
52,313.541,0.82965,1.45146,0.60047,1.17013,0.85617,0.76317,0.86379,0.63222,0.85731,0.74038,0.83644,0.55928,1.00396,1.83763,0.73953,1.34342,0.0009902,0.0009902,0.0009902
53,319.627,0.85122,1.46372,0.62575,1.17278,0.83401,0.75641,0.85544,0.63716,0.83894,0.73718,0.82403,0.57302,0.93509,1.69447,0.76668,1.30003,0.0009704,0.0009704,0.0009704
54,325.623,0.79497,1.44754,0.57962,1.14058,0.83696,0.75,0.84848,0.63192,0.83328,0.73397,0.80886,0.5583,0.89536,1.75044,0.79403,1.28597,0.0009506,0.0009506,0.0009506
55,331.645,0.79445,1.36808,0.58075,1.14051,0.83159,0.75969,0.82316,0.60377,0.81755,0.73718,0.7885,0.54281,0.987,1.87575,0.82441,1.33965,0.0009308,0.0009308,0.0009308
56,337.745,0.79927,1.44174,0.58875,1.17046,0.88435,0.76603,0.84034,0.63621,0.85218,0.74038,0.80759,0.57771,0.91048,1.76504,0.79686,1.31515,0.000911,0.000911,0.000911
57,343.718,0.7984,1.37686,0.57808,1.17108,0.87397,0.77789,0.8605,0.6454,0.86246,0.75321,0.83475,0.58951,0.94654,1.72569,0.70981,1.3179,0.0008912,0.0008912,0.0008912
58,349.771,0.80306,1.38099,0.59582,1.15094,0.82896,0.80775,0.87668,0.65588,0.8206,0.79167,0.84478,0.59926,0.91075,1.74767,0.67452,1.30501,0.0008714,0.0008714,0.0008714
59,355.932,0.79843,1.34284,0.57954,1.13186,0.85118,0.80662,0.8703,0.65681,0.84931,0.74679,0.83686,0.59418,0.90208,1.82079,0.72097,1.28524,0.0008516,0.0008516,0.0008516
60,361.927,0.78704,1.36425,0.58692,1.14287,0.85115,0.76977,0.86564,0.63641,0.86338,0.74038,0.83204,0.5782,1.01572,1.89519,0.71939,1.34833,0.0008318,0.0008318,0.0008318
61,368.057,0.82215,1.37093,0.59063,1.16525,0.87781,0.77244,0.86276,0.64771,0.84403,0.77564,0.84181,0.59564,0.91517,1.72217,0.69617,1.29155,0.000812,0.000812,0.000812
62,374.107,0.7829,1.35216,0.58656,1.13167,0.85228,0.72436,0.80959,0.5922,0.83989,0.71474,0.78651,0.54943,0.99603,1.83532,0.87342,1.3732,0.0007922,0.0007922,0.0007922
63,380.231,0.8382,1.46931,0.62928,1.20191,0.79518,0.8141,0.83409,0.61026,0.77891,0.79487,0.81073,0.5683,0.98875,1.78684,0.84853,1.34857,0.0007724,0.0007724,0.0007724
64,386.699,0.79343,1.36655,0.59864,1.14822,0.88297,0.79798,0.86026,0.63684,0.85752,0.77162,0.82456,0.58819,0.90525,1.73946,0.76302,1.28752,0.0007526,0.0007526,0.0007526
65,392.951,0.79638,1.40015,0.58955,1.15954,0.82258,0.79808,0.8459,0.62542,0.80606,0.75641,0.81029,0.56975,0.9578,1.79796,0.7705,1.33488,0.0007328,0.0007328,0.0007328
66,399.119,0.82505,1.36044,0.59857,1.17076,0.86819,0.75321,0.83663,0.61631,0.84685,0.72756,0.80567,0.5582,0.93756,1.75061,0.79602,1.30938,0.000713,0.000713,0.000713
67,405.31,0.81884,1.37092,0.61557,1.17288,0.87666,0.75174,0.84208,0.64384,0.8691,0.73077,0.81552,0.5758,0.90505,1.66102,0.77526,1.29202,0.0006932,0.0006932,0.0006932
68,411.544,0.76375,1.2822,0.5529,1.13491,0.83934,0.78205,0.86346,0.65927,0.87057,0.74679,0.84791,0.6042,0.92272,1.63953,0.71678,1.30059,0.0006734,0.0006734,0.0006734
69,418.013,0.79777,1.32851,0.58871,1.15202,0.87478,0.76282,0.86346,0.64878,0.87015,0.75641,0.84279,0.60813,0.96749,1.63498,0.7052,1.32077,0.0006536,0.0006536,0.0006536
