epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,67.7615,1.9855,3.0956,1.98393,2.06553,0.64842,0.41667,0.51808,0.28534,0.73767,0.37821,0.46056,0.2346,2.04764,3.27597,2.24691,2.17627,0.0014258,0.0014258,0.0014258
31,69.8043,2.02057,3.24051,2.04046,2.12039,0.71246,0.42628,0.54833,0.33478,0.70932,0.42308,0.52381,0.30051,1.91563,3.07318,2.05934,2.11043,0.001406,0.001406,0.001406
32,71.8879,1.93863,3.00182,1.94678,2.05507,0.67204,0.45317,0.54892,0.3272,0.69886,0.48718,0.55116,0.31055,1.86681,3.03897,1.95576,2.08153,0.0013862,0.0013862,0.0013862
33,74.0549,1.94611,3.02159,1.94519,2.05569,0.68018,0.47436,0.56523,0.33815,0.6957,0.46474,0.54797,0.30572,1.8944,2.95992,1.95245,2.0868,0.0013664,0.0013664,0.0013664
34,76.2398,1.95696,2.95727,1.94628,2.05871,0.65791,0.48397,0.55643,0.33408,0.66711,0.48718,0.55336,0.30556,1.90752,2.95272,1.94646,2.08392,0.0013466,0.0013466,0.0013466
35,78.4625,1.91384,2.96377,1.94046,2.04758,0.68569,0.45833,0.56403,0.34455,0.71874,0.47115,0.56865,0.32882,1.8455,2.91591,1.9013,2.03869,0.0013268,0.0013268,0.0013268
36,80.5118,1.92858,2.99576,1.94128,2.0497,0.60284,0.45833,0.52788,0.30648,0.60793,0.46795,0.52065,0.30092,1.91,3.0253,1.99493,2.08539,0.001307,0.001307,0.001307
37,82.7384,1.93362,2.96405,1.93267,2.03354,0.69169,0.4391,0.5492,0.33815,0.71474,0.44872,0.546,0.30913,1.8828,3.00025,1.95861,2.09704,0.0012872,0.0012872,0.0012872
38,84.8063,1.96916,3.07574,1.98179,2.04364,0.67924,0.46153,0.56925,0.34454,0.68784,0.47115,0.55195,0.30925,1.86522,2.985,1.93054,2.05191,0.0012674,0.0012674,0.0012674
39,86.9101,1.85605,2.94045,1.85906,1.96984,0.67976,0.45513,0.56225,0.34679,0.69402,0.45513,0.55575,0.32451,1.79992,2.9996,1.96374,2.02456,0.0012476,0.0012476,0.0012476
40,89.3661,1.78432,2.83792,1.80674,1.9255,0.68152,0.46795,0.57304,0.35579,0.70448,0.45843,0.56878,0.33471,1.77326,2.96524,1.91679,1.97447,0.0012278,0.0012278,0.0012278
41,91.4367,1.77658,2.96683,1.81067,1.89666,0.66155,0.47613,0.56483,0.35128,0.65515,0.49359,0.56718,0.32737,1.74956,3.04504,1.91194,1.95953,0.001208,0.001208,0.001208
42,93.9531,1.77761,2.85155,1.7855,1.90977,0.76254,0.47436,0.59924,0.37821,0.76287,0.48077,0.59565,0.35102,1.68827,2.84558,1.81528,1.93523,0.0011882,0.0011882,0.0011882
43,96.2702,1.87365,2.89195,1.86806,1.97068,0.68803,0.51282,0.59549,0.36721,0.67516,0.49359,0.57833,0.33297,1.76689,2.82816,1.89548,1.99222,0.0011684,0.0011684,0.0011684
44,98.5062,1.71218,2.71808,1.7339,1.83908,0.71253,0.48077,0.59117,0.35283,0.71638,0.48575,0.57788,0.34799,1.76514,2.85311,1.85192,1.97334,0.0011486,0.0011486,0.0011486
45,100.531,1.74086,2.76701,1.70043,1.84481,0.73052,0.48077,0.60965,0.38064,0.74942,0.48718,0.60444,0.35355,1.67042,2.79044,1.82271,1.89331,0.0011288,0.0011288,0.0011288
46,102.563,1.76628,2.79688,1.75283,1.86828,0.69263,0.52001,0.62821,0.38659,0.70798,0.50509,0.60384,0.34257,1.73119,2.72554,1.78344,1.91627,0.001109,0.001109,0.001109
47,104.621,1.7121,2.76554,1.70971,1.84003,0.74375,0.45833,0.60478,0.37785,0.76596,0.47115,0.60495,0.36565,1.68903,2.76257,1.74521,1.92156,0.0010892,0.0010892,0.0010892
48,106.672,1.69535,2.74248,1.7115,1.84418,0.80276,0.48267,0.62643,0.3921,0.76965,0.51603,0.61304,0.37036,1.69705,2.79356,1.72295,1.90699,0.0010694,0.0010694,0.0010694
49,108.748,1.72798,2.67863,1.70498,1.83052,0.7331,0.51942,0.63601,0.39997,0.74415,0.53138,0.61463,0.35833,1.69882,2.71999,1.77333,1.89129,0.0010496,0.0010496,0.0010496
50,110.761,1.68133,2.73046,1.69652,1.84022,0.62009,0.5609,0.61973,0.40162,0.64965,0.53205,0.61762,0.37312,1.66208,2.62783,1.74299,1.89053,0.0010298,0.0010298,0.0010298
51,112.827,1.68584,2.69273,1.66599,1.81535,0.59679,0.5503,0.61118,0.4025,0.61341,0.5289,0.59903,0.36801,1.60346,2.69462,1.73802,1.86291,0.00101,0.00101,0.00101
52,114.987,1.69076,2.67989,1.64791,1.82068,0.67885,0.48718,0.55539,0.34402,0.65398,0.49679,0.53922,0.32463,1.66234,2.6572,1.76553,1.88298,0.0009902,0.0009902,0.0009902
53,117.065,1.66729,2.66655,1.6669,1.77736,0.61407,0.44231,0.48043,0.32329,0.61939,0.44872,0.47764,0.29699,1.54472,2.66954,1.78569,1.81274,0.0009704,0.0009704,0.0009704
54,119.114,1.63514,2.64302,1.6315,1.77557,0.80227,0.45833,0.62134,0.40901,0.60939,0.57003,0.62536,0.38016,1.54981,2.65686,1.69938,1.81655,0.0009506,0.0009506,0.0009506
55,121.254,1.59761,2.58419,1.55997,1.72108,0.67198,0.55449,0.65703,0.41894,0.6914,0.57051,0.64316,0.38236,1.58808,2.6615,1.67706,1.82999,0.0009308,0.0009308,0.0009308
56,123.488,1.59885,2.68363,1.60935,1.7591,0.75338,0.48718,0.63185,0.40355,0.7576,0.50641,0.61919,0.38092,1.59832,2.64964,1.69625,1.83076,0.000911,0.000911,0.000911
57,125.718,1.63729,2.69437,1.68842,1.79097,0.68058,0.55128,0.63696,0.41595,0.74671,0.51023,0.63965,0.3913,1.58316,2.61341,1.69951,1.81437,0.0008912,0.0008912,0.0008912
58,128.016,1.55922,2.61699,1.5615,1.69852,0.72639,0.54167,0.64585,0.43013,0.72276,0.55128,0.64075,0.38279,1.53253,2.69768,1.71234,1.77927,0.0008714,0.0008714,0.0008714
59,130.29,1.59215,2.5338,1.58306,1.71678,0.72677,0.55416,0.66423,0.43659,0.72568,0.55113,0.65464,0.39658,1.54421,2.65714,1.65656,1.77099,0.0008516,0.0008516,0.0008516
60,132.412,1.58411,2.63855,1.6291,1.73083,0.75349,0.52903,0.6636,0.43604,0.75806,0.53224,0.64796,0.38976,1.58502,2.61485,1.62145,1.78655,0.0008318,0.0008318,0.0008318
61,134.52,1.55826,2.61716,1.56527,1.68535,0.72937,0.55449,0.65889,0.4282,0.75383,0.54963,0.64233,0.39136,1.57328,2.55711,1.62917,1.77917,0.000812,0.000812,0.000812
62,136.57,1.5425,2.54142,1.53322,1.67524,0.68202,0.53621,0.65931,0.43301,0.69501,0.53205,0.63622,0.39079,1.53995,2.53168,1.6434,1.74743,0.0007922,0.0007922,0.0007922
63,138.615,1.62702,2.69241,1.64713,1.76549,0.7218,0.54808,0.65488,0.43619,0.71336,0.54167,0.63773,0.40069,1.50655,2.54361,1.63148,1.72858,0.0007724,0.0007724,0.0007724
64,140.702,1.54484,2.56405,1.59546,1.68054,0.7355,0.53205,0.64464,0.4218,0.70539,0.56022,0.64543,0.40526,1.51339,2.55191,1.60099,1.72906,0.0007526,0.0007526,0.0007526
65,142.764,1.56979,2.56428,1.59334,1.72114,0.70651,0.55769,0.65237,0.43395,0.7447,0.55128,0.65494,0.41007,1.50086,2.56425,1.60072,1.72003,0.0007328,0.0007328,0.0007328
66,144.826,1.58732,2.60856,1.57983,1.71415,0.73338,0.55769,0.66862,0.42996,0.74616,0.55769,0.64734,0.39552,1.56278,2.50319,1.63624,1.74037,0.000713,0.000713,0.000713
67,147.021,1.60418,2.53306,1.62223,1.72218,0.76485,0.52126,0.66056,0.43396,0.72836,0.55769,0.64925,0.40853,1.49998,2.44867,1.60722,1.72127,0.0006932,0.0006932,0.0006932
68,149.127,1.49673,2.48594,1.52051,1.6476,0.76003,0.55831,0.6776,0.44638,0.75311,0.57051,0.66601,0.41948,1.47231,2.45304,1.5623,1.7128,0.0006734,0.0006734,0.0006734
69,151.392,1.57716,2.5667,1.53673,1.69008,0.76619,0.53526,0.68177,0.44977,0.75604,0.5641,0.67941,0.41941,1.46707,2.49587,1.53978,1.68255,0.0006536,0.0006536,0.0006536
70,153.54,1.58077,2.61675,1.60679,1.69748,0.70253,0.57692,0.67605,0.45288,0.7054,0.59861,0.6766,0.41905,1.45455,2.55032,1.53899,1.67032,0.0006338,0.0006338,0.0006338
71,155.676,1.52165,2.54224,1.50061,1.65206,0.74543,0.55372,0.67639,0.4513,0.74622,0.56731,0.67684,0.42403,1.45408,2.50499,1.5237,1.65693,0.000614,0.000614,0.000614
72,157.836,1.4754,2.41965,1.46574,1.62541,0.76194,0.5641,0.69351,0.47233,0.78257,0.57692,0.69173,0.43202,1.44059,2.44738,1.4932,1.65177,0.0005942,0.0005942,0.0005942
73,159.941,1.46845,2.49776,1.49002,1.63815,0.73057,0.58654,0.69843,0.47198,0.73147,0.60243,0.69035,0.43096,1.44023,2.42115,1.48724,1.65715,0.0005744,0.0005744,0.0005744
74,162.059,1.49018,2.49346,1.5177,1.64492,0.74568,0.57372,0.68948,0.47668,0.75642,0.58333,0.67933,0.43132,1.40118,2.42678,1.49437,1.63315,0.0005546,0.0005546,0.0005546
75,164.156,1.4792,2.49254,1.48463,1.63081,0.74856,0.56731,0.6935,0.47393,0.74036,0.59405,0.68633,0.43691,1.36668,2.41457,1.48702,1.60735,0.0005348,0.0005348,0.0005348
76,166.238,1.42678,2.46098,1.43727,1.58544,0.77153,0.56282,0.70062,0.48364,0.73985,0.61218,0.7052,0.4518,1.36179,2.36915,1.44258,1.60082,0.000515,0.000515,0.000515
77,168.338,1.40369,2.35903,1.4216,1.549,0.78638,0.56633,0.71085,0.48465,0.78513,0.58654,0.70336,0.43868,1.37992,2.401,1.44881,1.61491,0.0004952,0.0004952,0.0004952
78,170.709,1.42073,2.44468,1.37742,1.54546,0.77383,0.59217,0.72024,0.49555,0.77995,0.6021,0.71332,0.44882,1.36225,2.42464,1.44028,1.59452,0.0004754,0.0004754,0.0004754
79,172.963,1.41678,2.35034,1.41429,1.56343,0.83147,0.56928,0.72197,0.50209,0.81403,0.58013,0.71725,0.4578,1.34199,2.37835,1.4096,1.58102,0.0004556,0.0004556,0.0004556
80,175.203,1.3779,2.3481,1.32238,1.51752,0.81723,0.57326,0.71804,0.49849,0.67903,0.6713,0.7189,0.4544,1.34313,2.32745,1.42795,1.58527,0.0004358,0.0004358,0.0004358
81,177.271,1.41668,2.43106,1.41998,1.56405,0.81967,0.57051,0.73133,0.494,0.84714,0.57051,0.71666,0.45088,1.36311,2.31654,1.4464,1.5896,0.000416,0.000416,0.000416
82,179.314,1.37623,2.37199,1.31599,1.53359,0.82143,0.57502,0.72587,0.49614,0.80805,0.57692,0.71784,0.45324,1.36064,2.32,1.41622,1.58287,0.0003962,0.0003962,0.0003962
