epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,154.269,0.91102,1.67231,0.75224,1.18695,0.80007,0.79524,0.83548,0.59725,0.78073,0.77601,0.81011,0.54267,1.11217,1.94467,0.92862,1.35163,0.0014258,0.0014258,0.0014258
31,159.567,0.95254,1.72981,0.8138,1.23194,0.84601,0.69231,0.79526,0.56786,0.81833,0.67859,0.76377,0.5113,1.10095,2.04768,1.01698,1.39067,0.001406,0.001406,0.001406
32,164.619,0.913,1.6075,0.76869,1.19984,0.83115,0.7415,0.81685,0.58397,0.82296,0.73077,0.79745,0.54063,1.11316,1.99479,0.96505,1.41008,0.0013862,0.0013862,0.0013862
33,169.728,0.91186,1.64575,0.76122,1.21545,0.78455,0.74359,0.80897,0.59309,0.85058,0.6859,0.77287,0.53513,1.08068,2.27343,0.9738,1.37867,0.0013664,0.0013664,0.0013664
34,174.863,0.97183,1.70972,0.80258,1.22929,0.83357,0.72756,0.8031,0.59231,0.84459,0.73718,0.80248,0.53824,1.0628,1.82834,0.94377,1.35952,0.0013466,0.0013466,0.0013466
35,180.074,0.9412,1.59915,0.75658,1.21524,0.79967,0.79323,0.83155,0.60035,0.82303,0.77885,0.8228,0.5665,1.08909,1.81939,0.89934,1.37586,0.0013268,0.0013268,0.0013268
36,185.315,0.94269,1.61517,0.77264,1.2404,0.79285,0.74833,0.81457,0.58451,0.85875,0.71474,0.79801,0.53966,1.09011,1.87095,0.91355,1.36899,0.001307,0.001307,0.001307
37,190.507,0.92258,1.5068,0.7632,1.18117,0.85901,0.69551,0.81497,0.60072,0.86378,0.69551,0.80205,0.54824,1.0564,1.89708,0.91922,1.33466,0.0012872,0.0012872,0.0012872
38,195.679,0.91645,1.62083,0.73551,1.19401,0.82716,0.76282,0.82602,0.61349,0.83491,0.74038,0.81001,0.57032,1.05816,1.82683,0.94302,1.33967,0.0012674,0.0012674,0.0012674
39,200.849,0.91038,1.61653,0.75442,1.19791,0.79366,0.70513,0.77351,0.56566,0.83278,0.65443,0.75153,0.51306,1.06183,1.91115,1.11145,1.38741,0.0012476,0.0012476,0.0012476
40,205.912,0.92955,1.65651,0.75437,1.20078,0.84775,0.69602,0.78556,0.5631,0.83247,0.68484,0.7676,0.51779,1.13668,1.98419,1.1161,1.41555,0.0012278,0.0012278,0.0012278
41,210.977,0.95278,1.65912,0.79245,1.23681,0.83894,0.72756,0.81712,0.61136,0.83304,0.71962,0.80254,0.56375,1.04422,1.89164,0.97278,1.37136,0.001208,0.001208,0.001208
42,216.122,0.88955,1.5472,0.72728,1.18511,0.80901,0.77385,0.83164,0.61205,0.84374,0.73397,0.82128,0.56797,1.0047,1.77685,0.86272,1.322,0.0011882,0.0011882,0.0011882
43,221.202,0.90298,1.57354,0.75295,1.1895,0.80697,0.75962,0.83797,0.61056,0.81289,0.75962,0.82142,0.56865,1.01001,1.77871,0.86783,1.30485,0.0011684,0.0011684,0.0011684
44,226.293,0.88924,1.54822,0.72695,1.1845,0.80098,0.76109,0.84363,0.60692,0.85187,0.74038,0.83087,0.56733,0.99949,1.75493,0.85886,1.30317,0.0011486,0.0011486,0.0011486
45,231.65,0.84713,1.49005,0.68213,1.15267,0.80711,0.78846,0.83386,0.61109,0.85063,0.75321,0.83187,0.56958,1.02723,1.74826,0.84211,1.29424,0.0011288,0.0011288,0.0011288
46,236.988,0.83787,1.4464,0.68048,1.14202,0.82699,0.6891,0.79621,0.57913,0.82053,0.67949,0.77763,0.52776,1.10907,1.89938,1.02987,1.38454,0.001109,0.001109,0.001109
47,242.153,0.84143,1.45153,0.64831,1.14572,0.85689,0.75962,0.84868,0.60744,0.85285,0.76165,0.83501,0.57771,1.02452,1.70991,0.83758,1.32307,0.0010892,0.0010892,0.0010892
