epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,702.702,1.11895,1.61987,0.62299,0.97421,0.89391,0.78501,0.86314,0.58594,0.88556,0.75421,0.8418,0.49092,1.14165,1.65001,0.61768,0.97782,0.0014258,0.0014258,0.0014258
31,726.485,1.11498,1.59899,0.60317,0.97547,0.91744,0.80547,0.87797,0.59696,0.90539,0.78554,0.86132,0.5139,1.12044,1.62666,0.59559,0.98118,0.001406,0.001406,0.001406
32,750.658,1.12667,1.5955,0.6052,0.96617,0.91464,0.78712,0.87315,0.59805,0.90857,0.75809,0.8469,0.49621,1.14912,1.60942,0.59444,0.98396,0.0013862,0.0013862,0.0013862
33,774.248,1.08972,1.56157,0.61136,0.96613,0.90734,0.79574,0.87389,0.59971,0.89822,0.77322,0.85449,0.51325,1.12745,1.62611,0.61326,0.9772,0.0013664,0.0013664,0.0013664
34,797.97,1.10065,1.56411,0.59004,0.96968,0.91289,0.80331,0.87678,0.6134,0.90144,0.79164,0.86102,0.53228,1.0353,1.54493,0.57471,0.97026,0.0013466,0.0013466,0.0013466
35,821.842,1.13604,1.6259,0.60751,0.98184,0.91754,0.79574,0.87106,0.60486,0.92173,0.76039,0.84356,0.5106,1.08313,1.55611,0.56868,0.9777,0.0013268,0.0013268,0.0013268
36,845.8,1.11206,1.55632,0.59154,0.95971,0.92097,0.80366,0.87945,0.61992,0.91198,0.78554,0.86194,0.52666,1.03051,1.51648,0.57786,0.95877,0.001307,0.001307,0.001307
37,869.461,1.11143,1.5894,0.59807,0.97435,0.90039,0.80806,0.87792,0.60168,0.86746,0.78413,0.85319,0.50047,1.12042,1.63251,0.5881,0.98562,0.0012872,0.0012872,0.0012872
38,893.416,1.0959,1.56153,0.59737,0.97476,0.90935,0.78642,0.87053,0.59218,0.89116,0.76923,0.8501,0.50901,1.14575,1.58315,0.61287,0.98462,0.0012674,0.0012674,0.0012674
39,917.205,1.0866,1.5481,0.58089,0.96168,0.91908,0.81791,0.88502,0.59347,0.89392,0.79313,0.86112,0.51414,1.18449,1.64785,0.5639,1.00528,0.0012476,0.0012476,0.0012476
40,941.082,1.07486,1.52336,0.5754,0.9566,0.90364,0.81832,0.88487,0.61878,0.90181,0.78689,0.86163,0.52792,1.05262,1.52458,0.57096,0.96068,0.0012278,0.0012278,0.0012278
41,965.361,1.06995,1.53484,0.57523,0.95931,0.91517,0.81422,0.88317,0.62194,0.89852,0.78607,0.8609,0.52661,1.06403,1.53799,0.55722,0.98751,0.001208,0.001208,0.001208
42,989.209,1.08915,1.54017,0.56702,0.96154,0.92127,0.82351,0.89064,0.63149,0.90088,0.80577,0.87251,0.54226,1.02889,1.49017,0.55676,0.9656,0.0011882,0.0011882,0.0011882
43,1013.03,1.09412,1.53419,0.58694,0.96453,0.91017,0.80572,0.88099,0.61117,0.90312,0.77182,0.85018,0.50505,1.08414,1.54785,0.57804,0.97025,0.0011684,0.0011684,0.0011684
44,1036.68,1.09104,1.54294,0.57393,0.96013,0.91828,0.82047,0.88681,0.60371,0.89952,0.79592,0.86074,0.5136,1.11546,1.5761,0.58918,0.97726,0.0011486,0.0011486,0.0011486
45,1060.52,1.10705,1.54791,0.58041,0.96352,0.92132,0.81783,0.88719,0.60704,0.89258,0.79232,0.86065,0.48992,1.13126,1.57333,0.58438,0.97797,0.0011288,0.0011288,0.0011288
46,1084.41,1.07874,1.54174,0.5767,0.9568,0.91621,0.82741,0.88886,0.60841,0.89478,0.80806,0.86974,0.51791,1.09198,1.56461,0.56151,0.97662,0.001109,0.001109,0.001109
47,1108.09,1.0848,1.50459,0.57369,0.95592,0.93142,0.81334,0.88597,0.61331,0.90714,0.78659,0.86176,0.51847,1.06173,1.52194,0.57015,0.96605,0.0010892,0.0010892,0.0010892
48,1132.05,1.06368,1.50717,0.56603,0.95486,0.92766,0.81665,0.88984,0.62934,0.90124,0.78832,0.86598,0.53311,1.02992,1.52136,0.56621,0.96352,0.0010694,0.0010694,0.0010694
49,1156.48,1.0699,1.49001,0.57456,0.94466,0.90328,0.82072,0.88005,0.59615,0.87529,0.7931,0.84624,0.48412,1.11481,1.54548,0.5935,0.97485,0.0010496,0.0010496,0.0010496
50,1180.36,1.077,1.51134,0.57726,0.96216,0.9181,0.81474,0.88482,0.60308,0.89923,0.78712,0.85962,0.49097,1.12818,1.55508,0.58579,0.9803,0.0010298,0.0010298,0.0010298
51,1204.74,1.08645,1.52295,0.56908,0.95903,0.92752,0.81504,0.88949,0.61591,0.90966,0.77951,0.86231,0.51634,1.0984,1.52618,0.56936,0.98125,0.00101,0.00101,0.00101
52,1228.57,1.07379,1.50223,0.55521,0.95678,0.91144,0.80559,0.87964,0.61806,0.89357,0.78061,0.85695,0.52048,1.055,1.51865,0.56771,0.9622,0.0009902,0.0009902,0.0009902
53,1252.57,1.08053,1.50023,0.56386,0.95676,0.92547,0.81967,0.89108,0.62822,0.90106,0.79628,0.86485,0.52707,1.04015,1.5071,0.55499,0.9557,0.0009704,0.0009704,0.0009704
54,1276.26,1.06608,1.48333,0.55386,0.94415,0.92325,0.82113,0.89024,0.61825,0.89965,0.79965,0.86874,0.5348,1.0244,1.48318,0.56811,0.95023,0.0009506,0.0009506,0.0009506
55,1300.18,1.05248,1.47965,0.55315,0.94651,0.92762,0.80496,0.88903,0.60904,0.9043,0.77968,0.86229,0.50687,1.09701,1.55779,0.57345,0.97445,0.0009308,0.0009308,0.0009308
56,1323.93,1.07503,1.51873,0.57384,0.96016,0.91984,0.81766,0.89101,0.61412,0.88494,0.78554,0.85111,0.50286,1.09593,1.51459,0.56709,0.97015,0.000911,0.000911,0.000911
57,1347.47,1.07472,1.50696,0.56292,0.94958,0.9223,0.80876,0.89156,0.62049,0.89539,0.77701,0.85809,0.50921,1.0728,1.55143,0.56479,0.95958,0.0008912,0.0008912,0.0008912
58,1371.4,1.03695,1.46432,0.54327,0.94325,0.91929,0.83556,0.89619,0.60947,0.90623,0.80254,0.87112,0.51232,1.11787,1.53083,0.56245,0.98136,0.0008714,0.0008714,0.0008714
